Topic,Words
0,"erp (0.0399), planning (0.0294), business (0.0294), management (0.0290), software (0.0275), enterprise (0.0248), organizational (0.0240), case (0.0230), study (0.0230), technology (0.0226)"
1,"user (0.0547), resistance (0.0424), job (0.0405), use (0.0333), technology (0.0257), acceptance (0.0247), implementation (0.0236), model (0.0223), research (0.0219), users (0.0217)"
2,"health (0.0558), healthcare (0.0394), design (0.0391), research (0.0311), care (0.0275), systems (0.0247), technology (0.0220), use (0.0216), theory (0.0212), study (0.0186)"
3,"consumer (0.0519), protection (0.0458), consumers (0.0415), privacy (0.0414), social (0.0370), recommender (0.0358), internet (0.0346), online (0.0324), wom (0.0315), loyalty (0.0312)"
4,"rural (0.0656), government (0.0565), public (0.0531), ict (0.0526), development (0.0500), countries (0.0490), technology (0.0435), india (0.0414), governance (0.0373), ict4d (0.0349)"
5,"project (0.1420), management (0.0808), projects (0.0691), pmo (0.0510), crowdfunding (0.0405), sponsorship (0.0405), sponsors (0.0376), goals (0.0334), organizational (0.0325), deescalation (0.0317)"
6,"security (0.2411), breaches (0.0655), awareness (0.0531), data (0.0502), compliance (0.0495), research (0.0464), policy (0.0434), policies (0.0431), practices (0.0423), cloud (0.0358)"
7,"decision (0.1290), model (0.1095), support (0.0956), formulation (0.0939), management (0.0699), dss (0.0661), models (0.0621), dkas (0.0557), process (0.0552), distributed (0.0515)"
8,"query (0.1227), database (0.1156), language (0.0692), queries (0.0686), semantic (0.0623), decision (0.0593), web (0.0571), prolog (0.0409), tutors (0.0409), model (0.0405)"
9,"market (0.1492), trading (0.1359), auctions (0.0784), combinatorial (0.0700), computational (0.0684), markets (0.0574), auction (0.0552), rules (0.0529), transaction (0.0525), benchmarking (0.0490)"
10,"culture (0.1762), countries (0.0566), ethics (0.0554), national (0.0552), standardization (0.0529), china (0.0506), chinese (0.0483), generation (0.0474), wlan (0.0474), theory (0.0467)"
